consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
abstracted propositions demonstrated,1,-1.8430000000000177,3,true,"",FrankPearson,false,1,1,3,301.1287836810158,1879.8715876923138,656.0028437040764,602.2584113125214
by a few experiments are,2,-1.8430000000000177,3,true,TEHark,FrankPearson,false,1,1,3,303.3681008608741,1503.6605609514288,788.1245562484208,752.2949688238408
seldom much calculated to,3,-1.8430000000000177,3,true,TEHark,FrankPearson,false,1,1,3,292.17136119752837,1622.3461141431999,918.007002867592,864.2625704760369
[underline]arrest[/underline] the attention - .,4,-1.8430000000000177,3,true,"",FrankPearson,false,1,1,3,301.1287836810158,1521.5753034090342,1025.495867650702,982.9481236678077
|_What would formerly have,5,-1.8430000000000177,3.2,true,plphy,FrankPearson,false,1,1,4,272.0171990506953,1508.1391953111454,1173.2930567274782,1126.2666783848679
appeared [underline]Miraculous[/underline] changes as,6,-1.8430000000000177,3.75,true,deehar,FrankPearson,false,1,1,4,339.197739540139,1799.2549391049815,1289.739292739391,1249.4309684457246
effected. by Chemical powers,7,-1.8430000000000177,3,true,TEHark,FrankPearson,false,1,1,3,319.04357739330595,1696.2447086815878,1421.8610565384201,1381.552732244754
are now become familiar.,8,-1.8430000000000177,3,true,TEHark,FrankPearson,false,1,1,3,363.83058730137344,1732.0743986155376,1551.7434006482215,1504.717022305611
|_& though [underline]new[/underline] processes are,9,-1.8430000000000177,3.6,true,deehar,FrankPearson,false,1,1,4,293.49511374112666,1558.7285921225275,1705.9562829585443,1656.6905874360755
found - there is a great,10,-1.8430000000000177,3,true,"",FrankPearson,false,1,1,3,318.1279615023611,1462.436620766818,1838.0780467575737,1791.051668414963
similarity in the appearances -,11,-1.8430000000000177,3,true,"",FrankPearson,false,1,1,3,365.15433984497173,1771.4671070182594,1932.1308034427948,1911.9766412959616
"[deletion][ xxxxx[/deletion] Before [insertion]However[/insertion] it is possible "" to",12,-1.8430000000000177,3,true,TEHark,FrankPearson,false,1,1,3,321.660971807562,1714.5374771189063,2088.0789063275993,2016.4196289690694
"build "" either a [deletion][unclear]useful[/unclear][/deletion] [insertion]lasting[/insertion] or",13,-1.8430000000000177,3,true,plphy,FrankPearson,false,1,1,3,425.10446586760156,1730.098832464987,2220.8128756535725,2166.12377780752
an [deletion]splendid[/deletion][insertion]elegant[/insertion] edifice good,14,-1.8430000000000177,3,true,TEHark,FrankPearson,false,1,1,3,421.5275799039306,1674.2995679234864,2340.5659843397652,2301.310241700934
& [underline]sound foundations[/underline] must,15,-1.8430000000000177,3,true,TEHark,FrankPearson,false,1,1,3,414.30668542923854,1708.0411637280406,2467.365136782678,2429.8160636543626
be laid. & they can never,16,-1.8430000000000177,3,true,"",FrankPearson,false,1,1,3,422.5358846790949,1709.4432161564405,2621.4365890004938,2580.474020591349
be ornamental - use must,17,-1.8430000000000177,3,true,"",FrankPearson,false,1,1,3,448.1374899348107,1709.4432161564405,2742.617546587515,2699.9482305379547
be looked for in them &,18,-1.8430000000000177,3,true,TEHark,FrankPearson,false,1,1,3,436.7971631095074,1727.1181070625305,2861.8158319074064,2836.2142266516908
not beauty. - The Laws,19,-1.8430000000000177,3,true,"",FrankPearson,false,1,1,3,409.4887711484275,1727.1181070625305,2998.3577526478566,2959.1019318791264
of attraction may fairly be,20,-1.8430000000000177,3.8,true,TEHark,FrankPearson,false,1,1,4,424.8497343018569,1780.9147323700186,3136.606421028722,3088.087651918285
considered as an essential,21,-1.8430000000000177,3,true,TEHark,FrankPearson,false,1,1,3,448.8778599924027,1815.1369759204838,3275.1778185180337,3251.2920964263667
foundation to the superstructure,22,-1.8430000000000177,3,true,TEHark,FrankPearson,false,1,1,3,415.43796933787576,1874.8511718098273,3392.2174631438343,3373.108907338465
