consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
4,1,-0.41100000000000136,3,false,"","",false,1,1,3,267.6825130867757,379.6201981334187,311.0604473260387,305.8540613837208
to confuse the mind not assisted,2,-0.41100000000000136,3,false,"","",false,1,1,3,262.47606756187196,2001.4157647108395,469.85584418388623,433.4110234224892
[deletion]by the [unclear]arrangements[/unclear][/deletion]: Philosophical views,3,-0.41100000000000136,4.2,false,"","",false,1,1,5,317.7051866381721,1991.17443202899,580.1189709067236,592.1295155108845
[deletion]arrangements-[/deletion],4,-0.41100000000000136,3,true,"",E_L_Bird,false,1,1,4,319.70691352780455,1014.3167736795064,728.2490515691029,746.2648684753443
- . Of gasses the varieties are,5,-0.41100000000000136,4.857142857142857,true,MBeeHH,E_L_Bird,false,1,1,6,319.70691352780455,1718.9353599125532,988.4774874481952,960.452898644017
still fewer. They are not,6,-0.41100000000000136,3,false,"","",false,1,1,3,351.73504774443086,1678.9002723208057,1122.5952508001897,1122.5952508001897
contemplated in nature;,7,-0.41100000000000136,4.25,true,"",E_L_Bird,false,1,1,6,391.08362363376426,1614.8440955207361,1263.3568903220257,1255.4195034971995
& most of them are productions,8,-0.41100000000000136,3.8333333333333335,false,"","",false,1,1,4,401.7789988672987,1965.1515242978526,1416.853639418724,1388.829004797954
of modern Chemistry. - . They,9,-0.41100000000000136,3.5714285714285716,true,"",E_L_Bird,false,1,1,6,405.7824984631551,1853.0531690811392,1564.9836284479202,1570.9889007500005
are all transparent; but,10,-0.41100000000000136,3.75,false,"","",false,1,1,4,405.7824984631551,1696.916089227047,1697.0996190936903,1727.1259806040928
"they differ in density, some",11,-0.41100000000000136,3,false,"","",false,1,1,3,383.7631819610573,1768.9793568520126,1823.21033743738,1843.2279728664373
in colour; & decidedly,12,-0.41100000000000136,3,false,"","",false,1,1,3,431.80536037770105,1666.8897277166448,1961.3316462018224,1969.3387370267187
in their properties. -,13,-0.41100000000000136,2,false,"","",true,1,1,2,471.0656909942627,1620.6471452713013,2095.329468727112,2103.4825286865234
- In this jar there is,14,-0.41100000000000136,5,false,"","",false,1,1,5,505.870354892299,1634.8615476834266,2215.554901412018,2215.554901412018
one kind of gas -,15,-0.41100000000000136,3,false,"","",false,1,1,3,417.79304306731603,1472.719195527254,2357.6796181391333,2353.676072726685
[underline]Instance[/underline],16,-0.41100000000000136,4,false,"","",false,1,1,4,822.1480600129314,1190.4713973294722,2507.811425691145,2509.8131525807776
[deletion]Chlorine -[/deletion] [underline]Nitrous acid[/underline] gas -,17,-0.41100000000000136,2,false,"","",true,1,1,2,479.8475387943447,1708.926633831208,2671.95550473695,2619.9097809078585
.-. Hydrogene- . . [underline]Carbonic[/underline],18,-0.41100000000000136,3.6,false,"","",false,1,1,4,519.8826722026839,1670.8931814959094,2806.0732222723527,2774.045133872318
[underline]acid gas[/underline]. -,19,-0.41100000000000136,3.3333333333333335,false,"","",false,1,1,6,543.9037614110058,1006.3097744877936,2961.4043432348963,2954.139588245843
