consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
37,1,-4.182999999999993,3,false,"","",false,1,2,3,1085.962296962738,1139.7006373405457,81.63664150238037,81.63664150238037
if they had acted,2,-4.182999999999993,3,false,"","",false,1,1,3,98.003577709198,898.9115352630615,171.54503202438354,125.04069900512695
singly.-,3,-4.182999999999993,3,false,"","",false,1,1,3,103.17072582244873,481.40596771240234,269.72084617614746,255.2528314590454
- If a bar of Manetic,4,-4.182999999999993,3,false,"","",false,1,1,3,151.74191808700562,1049.792260169983,400.96640825271606,326.5594754219055
steel be broken into,5,-4.182999999999993,3,false,"","",false,1,1,3,209.61397695541382,1041.5248231887817,493.97507429122925,426.8021488189697
"two or more parts, the",6,-4.182999999999993,3,false,"","",false,1,1,3,192.04567337036133,1037.3911046981812,596.2846040725708,516.7105231285095
Broken pieces become [deletion]each[/deletion],7,-4.182999999999993,3,false,"","",false,1,1,3,185.84509563446045,1111.7980375289917,698.5941367149353,626.254063129425
[underline]respectively Magnets[/underline]-,8,-4.182999999999993,3.5,true,"",E_L_Bird,false,1,1,4,191.01224374771118,1112.8314671516418,784.3687953948975,750.2656178474426
.-. If any piece of soft iron,9,-4.182999999999993,3,false,"","",false,1,1,3,197.21282148361206,1027.0568084716797,935.2495317459106,868.0766062736511
be held in that direction,10,-4.182999999999993,3.8,false,"","",false,1,1,4,186.8785252571106,1115.9317560195923,1029.291627407074,944.550398349762
in which the earth acts,11,-4.182999999999993,3,false,"","",false,1,1,3,182.74480676651,1018.7893714904785,1110.9325675964355,1022.057620048523
"as a Magnet, it becomes",12,-4.182999999999993,3,false,"","",false,1,1,3,214.78112506866455,1093.196304321289,1184.306070804596,1098.5314121246338
for the time magnetic-,13,-4.182999999999993,3.75,false,"","",false,1,1,4,187.91195487976074,1071.494282245636,1261.813292503357,1191.540078163147
And [underline]steel[/underline] or iron,14,-4.182999999999993,3,false,"","",false,1,1,3,227.1822805404663,916.479838848114,1358.9556455612183,1295.9164385795593
slightly modified [deletion]so as[/deletion],15,-4.182999999999993,3,false,"","",false,1,1,3,163.10964393615723,996.0539197921753,1458.1648893356323,1379.6242380142212
by new combination so,16,-4.182999999999993,3,false,"","",false,1,1,3,205.48025846481323,949.5495867729187,1519.1372351646423,1466.4323244094849
