consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
95,1,0.84,3,false,"","",false,1,2,3,921.7210137392492,987.630637975117,84.25248876328214,85.49604867763065
[underline]Oct[superscript]r[/superscript]. 26. 1809.[/underline],2,0.84,3,false,"","",false,1,1,3,292.4700670086256,830.9397168287128,171.30299919354093,187.4695271336132
4 grains of Potassium compleatly,3,0.84,3,false,"","",false,1,1,3,232.77824234450034,884.4136470435558,281.98152750658005,299.39162722069335
converted in 11. 1/8 of Ammonia.,4,0.84,3,false,"","",false,1,1,3,109.66393699258916,941.6182570014444,345.40405563313584,359.08340444604875
- 4 1/2 cubical inches of Hydrogene,5,0.84,3,false,"","",false,1,1,3,151.94563822321632,870.7342033531031,400.12152204294244,426.23665975441986
rushined in [unclear]xxx[/unclear] 4 + 1/3 + 1/4,6,0.84,5.111111111111111,true,Fierengraw,Fierengraw,false,1,1,7,129.56120397416927,908.0415700487965,482.1977335173449,490.90279523409396
6 cubic inches of gas came over in the,7,0.84,3,false,"","",false,1,1,3,109.66393699258916,965.2462748842249,564.2739212723623,575.4661502565783
first operation - of this nearly,8,0.84,3,false,"","",false,1,1,3,139.5098730440367,900.5801631239356,606.5556225029893,589.1454990694912
a cubical inch [underline]Ammonia[/underline]; for in,9,0.84,3,false,"","",false,1,1,3,137.02268205718494,890.6315414928381,647.5937163804981,650.0808836479649
the Exp[superscript]t[/superscript] the fusible substance had,10,0.84,3,false,"","",false,1,1,3,94.74100454594279,927.9389081885315,688.6318102580069,704.7983263383867
been exposed [underline]to air[/underline] more than,11,0.84,3,false,"","",false,1,1,3,125.83047679235395,868.2470835244062,748.3235874833623,754.5414819326445
usual.,12,0.84,3,false,"","",false,1,1,3,138.2662656909184,296.200794190441,786.8745567882971,788.1181167026456
Last portion of gas - examined - 1.7,13,0.84,6.5,false,"","",false,1,1,7,146.97130368828257,991.3614125957022,824.1819234839904,840.3484870031402
None of it absorbed by Water [unclear]xxxx[/unclear] came over,14,0.84,3.7777777777777777,false,"","",false,1,1,4,138.2662656909184,1028.6687792913956,865.2200648002691,875.1686627119818
8 of the gas & 5 of oxygene diminished to,15,0.84,3,false,"","",false,1,1,3,97.2281480940247,1038.6173534837233,937.3475834854191,937.3475834854191
5 again 9[superscript]gr[/superscript] + 7 [superscript]oxy[/superscript]. diminish to 7 1/2,16,0.84,3.8,false,"","",false,1,1,4,92.25383727847591,995.0920923387478,975.8985338148459,1013.2059005105393
First portion,17,0.84,3,false,"","",false,1,1,3,137.02268205718494,460.3532171392459,1019.4237949598215,1033.1031912115045
10 of the gas & 7 of oxygene diminished to,18,0.84,3,false,"","",false,1,1,3,83.5487992811118,1002.5536415799181,1057.9747452892484,1075.3848450033618
7. - [underline]There were 5 cubical inches. inches;[/underline],19,0.84,5.5,false,"","",false,1,1,7,89.766693730394,960.2719403492911,1127.6151678650865,1146.2688512129332
but contain 3/4 of a cubical inch,20,0.84,3,false,"","",false,1,1,3,76.08732119809613,891.8751014071865,1191.037695991642,1210.9349392538375
of Hydrogene from the tube.,21,0.84,3,false,"","",false,1,1,3,117.12541507560482,951.566831193772,1256.9473913856648,1268.139572931111
- There were about 2 1/2 of Potassium,22,0.84,3,false,"","",false,1,1,3,112.15110426005603,966.4898347985734,1330.318512680056,1360.1644250121187
revived in this exp[superscript]t[/superscript] -,23,0.84,3,false,"","",false,1,1,3,117.12541507560482,715.2868421210474,1409.9075568869916,1394.9846718791152
[underline]a grain[/underline] ~,24,0.84,3.6666666666666665,false,"","",false,1,1,4,124.58689315862048,628.2363198310961,1443.4842106325007,1452.1892486298648
About 7 cubical inches of Ammonia,25,0.84,3,false,"","",false,1,1,3,151.94563822321626,977.6820637827892,1528.0475656549852,1511.8810258552205
[underline]absorbed[/underline].,26,0.84,3,false,"","",false,1,1,3,176.81721602034523,421.8022430904341,1590.2265575865772,1592.7136774152743
