consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
25,1,0.896,3,false,"","",false,1,2,3,977.1076509482542,1047.565536252914,119.92831541218635,119.92831541218635
To look on Nature with a poets eye,2,0.896,3.25,true,RogerGeol,aplacey,false,1,1,4,112.12467603786016,830.195464568326,182.89068100358418,160.40412186379928
Nursing those lofty thoughts which in the mind,3,0.896,3.75,true,"",raspence,false,1,1,4,104.14461183547974,1010.826073884964,231.0728795528412,220.393474817276
Spontaneous arise & blending all their power,4,0.896,3.5714285714285716,true,"",aplacey,false,1,1,4,106.28049278259277,1006.5543119907379,284.4699032306671,266.3149151802063
With images from mountain & from flood,5,0.896,3.857142857142857,false,"","",false,1,1,4,119.08784508705139,963.2039475440979,333.7005003094673,319.7413818836212
From chesnut groves amidst the broken rocks,6,0.896,3.5714285714285716,false,"","",false,1,1,4,110.19859725236893,1030.8815190792084,389.17509800195694,393.05574256181717
When the blue Lime flowers to next the wave,7,0.896,2.6666666666666665,true,"",raspence,true,1,1,3,115.44202160835266,1031.7349479198456,451.5719618797302,450.5040214061737
"of foaming Serchio, or midst the odorous [unclear]heath[/unclear]",8,0.896,2.75,true,"",aplacey,true,1,1,3,112.36766046285629,1024.9689369797707,503.9804463982582,500.422546684742
And [unclear]xxxxx[/unclear] flowers,9,0.896,1,true,"",aplacey,true,1,1,1,135.22585368156433,423.4157304763794,532.6627657413483,522.8785415291786
Which locks the [insertion]stream-worn[/insertion] sides of the green hills virgin,10,0.896,2.6363636363636362,true,"",raspence,true,1,1,3,133.5718947649002,957.1598818898201,567.5064009428024,542.0515379309654
Whence rise in [deletion][unclear]mountain xxxx[/unclear] & mountain[/deletion],11,0.896,3,true,"",aplacey,false,1,1,3,125.71874272823334,1028.535795032978,635.3086751699448,627.3034008145332
Thy limpid waves & mountain [insertion]purity[/insertion] Tiber,12,0.896,1,true,"",raspence,true,1,1,1,120.40817880630493,944.9514374136925,708.9207866191864,716.9260609745979
"Not protected yet, by mixture with",13,0.896,1,true,"",raspence,true,1,1,1,121.73418980836868,956.9511475563049,774.2137879729271,763.5400888323784
the lowland muddy rills,14,0.896,1,true,"",aplacey,true,1,1,1,110.17101573944092,957.840622484684,856.3419370055199,864.3472113609314
[unclear]xxx[/unclear] lodged with the rivers of the plains,15,0.896,1,true,"",aplacey,true,1,1,1,110.17101573944092,957.840622484684,856.3419370055199,864.3472113609314
When then murmerest by of ancient [unclear]Saturn[/unclear],16,0.896,1.6666666666666667,true,"",raspence,true,1,1,2,131.6679539680481,990.0112598538399,890.2465088963509,918.7097066044807
[unclear]Wasting[/unclear] the falling walls of the imperial city.,17,0.896,1,true,"",aplacey,true,1,1,1,111.10797280073166,962.335479259491,927.4264217615128,971.9001681804657
[unclear]Begin ban[/unclear] the times of heroes & the moments,18,0.896,1,true,"",aplacey,true,1,1,1,104.88164830207825,981.9039276838303,1004.8107405304909,1070.6318852305412
And records of the generations past. -,19,0.896,2.5714285714285716,true,"",aplacey,true,1,1,3,101.32374858856201,944.5459806919098,1082.1950843334198,1116.884606540203
It will then pass to that cloud covered hill,20,0.896,1,true,"",raspence,true,1,1,1,101.32374858856201,937.4301812648773,1167.5846774578094,1180.0373264551163
Where [unclear]marble[/unclear]rocks are cloathed with,21,0.896,2.142857142857143,true,"",aplacey,true,1,1,3,101.32374858856201,963.22495418787,1228.9584725499153,1262.7585198283195
brightest [deletion]verdure[deletion] green,22,0.896,2.25,true,"",aplacey,true,1,1,3,109.32902294397354,648.3508295416832,1289.5317054986954,1292.2001302838326
Where Flora reigns in mountain majesty,23,0.896,3.8,true,"",aplacey,false,1,1,4,127.11852151155472,957.8881046175957,1354.4633752703667,1344.679151058197
There a thousand flowers of [deletion][unclear]xxxxxxxx[/unclear][/deletion] [insertion]unknown[/insertion] hues,24,0.896,1,true,"",aplacey,true,1,1,1,128.00799643993378,987.2407772541046,1412.8278223872185,1419.054146885872
sweets [deletion]& virtues[/deletion],25,,0,true,"",aplacey,false,1,1,0,,,,
Scent the [insertion]cool[/insertion] air rarely by human breath,26,0.896,2.2,true,"",aplacey,true,1,1,4,200.5728797970531,942.6932079314415,1488.4313097766685,1552.6378464342918
inhaled,27,0.896,2,false,"","",true,1,1,4,99.5838937041822,272.9403005981244,1560.9877598364203,1560.5628859327676
