consensus text,line number,line slope,consensus score,line edited (T/F),original transcriber username,line editor username,flagged for low consensus (T/F),page number,column,number of transcribers,line start x,line end x,line start y,line end y
Summit of Hellvyllyn Grauwacke that,1,1.797,3,false,"","",false,1,1,3,115.34922814369202,1125.2017347812653,125.16180503368378,134.78963613510132
of Skiddaw shist no [deletion]b[/deletion]Bolder stones,2,1.797,3,false,"","",false,1,1,3,117.48874616622925,1130.5505298376083,191.48686373233795,204.32397186756134
of granite in the lake country. abundance,3,1.797,3.7142857142857144,false,"","",false,1,1,4,127.11657726764679,1240.7357079982758,258.88168144226074,290.9744517803192
near Maryport probably from Scotland.-,4,1.797,3.3333333333333335,true,"",Fierengraw,false,1,1,4,122.83754122257233,1220.410286784172,338.0438482761383,378.6946907043457
At Kendal. [underline]Limestone[/underline] is the principal,5,1.797,3,true,"",Fierengraw,false,1,1,3,133.53513133525848,1153.0154690742493,406.5084249973297,447.1592674255371
[underline]Rock[/underline]; & here the Grauwacke strata,6,1.797,3,true,"",Fierengraw,false,1,1,3,117.48874616622925,1178.689685344696,486.7403508424759,527.3911932706833
seem to disappear though I,7,1.797,3,false,"","",false,1,1,3,127.11657726764679,1054.5976400375366,551.9956505298615,588.3674569129944
observed some bolder stones near,8,1.797,3,false,"","",false,1,1,3,133.53513133525848,997.9004124403,623.6695042848587,672.878418803215
[underline]the Town[/underline] - About Lancaster,9,1.797,3.5,true,"",Fierengraw,false,1,1,4,130.32585430145264,1039.621013879776,708.1804661750793,742.412754535675
Chorley &c Limestone only,10,1.797,3,false,"","",false,1,1,3,157.06982958316803,1048.179085969925,778.7845602035522,807.6680535078049
